N;Pregunta;Opción A;Opción B;Opción C;Opción D;Respuesta Correcta
24;¿Qué información es obligatoria en la GCS para el monitoreo de la calidad del mando y control?;El número de satélites conectados y la temperatura ambiente en el punto de despegue.;La marca del procesador de la estación de tierra y la versión del firmware del control.;Intensidad de la señal, tasa de errores de bits (BER), degradación y tiempo de retardo.;Únicamente la distancia horizontal y el tiempo restante de grabación en la tarjeta SD.;Opción C
25;¿Bajo qué condiciones se debe demostrar la validez del Enlace C2 según la directiva vinculante?;Solo para vuelos BVLOS, ya que en VLOS el contacto visual directo sustituye la telemetría.;Para todas las modalidades de vuelo, incluyendo operaciones VLOS, BVLOS y EVLOS.;Exclusivamente cuando se utilizan bandas de frecuencia licenciadas otorgadas por la ANE.;Únicamente si la aeronave tiene un peso máximo de despegue superior a los 25 kilogramos.;Opción B
26;¿Qué debe ocurrir si se utiliza una banda de frecuencia con licencia para el enlace C2?;El operador debe contar con la aprobación de la Agencia Nacional del Espectro (ANE).;Se debe limitar la potencia de transmisión a 100 mW para evitar interferencias civiles.;El sistema debe realizar saltos de frecuencia automáticos cada sesenta segundos de vuelo.;La operación debe ser supervisada físicamente por un técnico en telecomunicaciones.;Opción A
27;¿Qué aspecto técnico define la estabilidad de la transmisión como fuente primaria de validación?;La capacidad de enviar mensajes de texto entre la estación de control y el piloto al mando.;La transmisión de imagen de video (FPV) o de cualquier cámara instalada en la UA.;El registro de los comandos enviados por el piloto en un archivo de texto plano descargable.;La velocidad de procesamiento del procesador inercial central de la aeronave no tripulada.;Opción B
28;¿Qué alerta debe recibir obligatoriamente el piloto UAS ante la pérdida del enlace C2?;Una notificación push en su dispositivo móvil personal vinculado a la red del explotador.;Una alerta auditiva y/o visual inmediata para iniciar los protocolos de recuperación.;Un mensaje de voz pregrabado emitido por los altavoces de la aeronave en pleno vuelo.;La desactivación automática de la cámara para priorizar el ancho de banda del control.;Opción B
29;"¿Cuál es la función del sistema de almacenamiento de reserva ""backup"" en el enlace C2?";Almacenar copias de seguridad de las fotos y videos capturados durante la misión comercial.;Guardar todos los datos transmitidos por el enlace C2 para auditoría y análisis posterior.;Permitir el reinicio del sistema operativo de la GCS en caso de un fallo crítico de energía.;Registrar los datos personales de los observadores UAS que participan en la operación.;Opción B
30;¿Qué factor puede provocar variaciones en el nivel de la señal de RF recibida a lo largo del tiempo?;El cambio de piloto al mando durante la operación si no se utiliza el mismo modelo de control.;Reflexión de señales por la superficie, edificios y la propia estructura de la aeronave.;La altitud de presión del aeropuerto de salida si esta supera los 5.000 pies sobre el nivel del mar.;El uso de baterías con un nivel de carga inferior al 50% en la estación de control en tierra.;Opción B
31;¿Qué debe demostrar el MO respecto a las limitaciones del enlace C2 para vuelos BVLOS?;El costo por megabyte de datos transmitidos a través de proveedores de servicios satelitales.;Factores como bloqueo de antena, límite de alcance, potencia y patrones de radiación.;La lista de aplicaciones móviles compatibles con el sistema de transmisión de video.;El tiempo promedio de vida útil de los conectores de las antenas omnidireccionales.;Opción B
32;¿Qué documento es necesario si se utiliza un proveedor de servicios de telecomunicaciones externo?;Un certificado de idoneidad técnica del personal que realizó la instalación de las antenas.;Un mapa que muestre la cobertura del servicio en el área y tiempo de la operación planeada.;Una póliza de seguros contra ciberataques e interceptación ilícita de datos de telemetría.;El manual de usuario del enrutador utilizado para la conexión a la red de internet pública.;Opción B
33;¿Qué criterio de prioridad debe seguir la secuenciación de mensajes en el sistema C2?;Los datos de video de alta definición deben tener prioridad sobre la telemetría básica.;La detección y evitación (DAA) debe ser prioritaria en la transmisión de información.;Los mensajes de estado de batería deben enviarse únicamente cada cinco minutos de vuelo.;El orden se basa exclusivamente en la antigüedad del piloto que está operando el sistema.;Opción B
34;¿Qué debe verificarse respecto a la estación de control en tierra en términos de energía?;Que cuente con un sistema de refrigeración líquida para evitar el sobrecalentamiento.;Que el suministro de energía sea eficiente y óptimo para las operaciones a realizar.;Que el cable de alimentación tenga una longitud mínima de diez metros para movilidad.;La presencia de un regulador de voltaje de marca certificada por el fabricante del drone.;Opción B
35;¿Cuál es la exigencia sobre el personal encargado del mantenimiento del enlace C2?;Debe ser el mismo piloto que realiza la operación de campo para garantizar conocimiento.;Debe estar asignado y ser responsable de los sistemas, elementos y equipos del enlace.;Se requiere que tenga una licencia de ingeniería electrónica con especialización en RF.;Basta con que el personal administrativo verifique visualmente el estado de los cables.;Opción B
36;¿Cómo deben tratarse los equipos tecnológicos complementarios para ampliar el alcance C2?;Como accesorios opcionales que no requieren estar documentados en el manual de control.;De forma similar a la UA, describiendo sus condiciones de mantenimiento y funcionalidad.;Como equipos de emergencia que solo se activan cuando la señal principal cae al 10%.;Deben ser reemplazados cada seis meses independientemente de su estado de funcionamiento.;Opción B
37;¿Qué debe incluir el plan de vuelo respecto a las frecuencias de operación?;El historial de interferencias detectadas en la zona de vuelo durante los últimos dos años.;La especificación de la banda de frecuencia y el soporte de contrato o libertad de uso.;Un diagrama detallado de los circuitos internos de la antena transmisora de la aeronave.;La lista de canales de radiofrecuencia prohibidos por la Fuerza Aérea Colombiana.;Opción B
38;¿Qué información geográfica debe mostrarse superpuesta en el GIS de la GCS?;Los nombres de los propietarios de los predios sobre los cuales está volando la UA.;La ubicación de las estaciones de policía y centros de salud más cercanos al dronepuerto.;La posición actual de la UA y la zona donde se autorizó el vuelo específicamente.;El relieve topográfico con una precisión mínima de un metro para evitar colisiones.;Opción C
39;¿Qué acción de la UA debe estar configurada ante la pérdida del enlace C2?;El apagado inmediato de los motores para evitar que la aeronave se aleje del sitio.;Respuestas programadas como retornar a casa, aterrizaje de emergencia o vuelo estacionario.;La activación de un paracaídas de emergencia independientemente de la altura de vuelo.;El cambio automático a una frecuencia de radio comercial para emitir una señal de auxilio.;Opción B
40;¿Qué debe validar el inspector sobre los equipamientos de transmisión C2 en campo?;Que los cables sean de color naranja para ser identificados fácilmente en el terreno.;Que estén dispuestos adecuadamente para evitar riesgos por caída o conexiones débiles.;Que todos los equipos tengan menos de un año de fabricación según su placa serial.;La presencia de protectores contra rayos solares en todas las antenas unidireccionales.;Opción B
41;¿Qué fenómeno físico puede causar desvanecimiento del enlace C2 por la reflexión de señales en edificios?;La ionización de la atmósfera superior durante las horas de máxima radiación solar térmica.;El efecto Doppler causado por la velocidad de crucero de la UA en trayectorias de descenso.;Variaciones en el nivel de la señal de RF recibida causadas por superficies y la estructura de la UA.;La saturación de los canales de telemetría debido al uso excesivo de metadatos en el video.;Opción C
42;¿Cuál es la obligación del operador si decide utilizar una banda de frecuencia de uso libre?;Solicitar un permiso temporal de emisión a la Agencia Nacional del Espectro (ANE) cada seis meses.;Realizar la operación de estricta conformidad con la normativa técnica nacional aplicable.;Pagar una tasa de uso de espectro proporcional al peso máximo de despegue de la aeronave.;Instalar un filtro de banda ancha certificado por la UIT en el transmisor de la estación terrestre.;Opción B
43;¿Qué característica debe tener el sistema de antenas para mitigar riesgos en vuelos BVLOS o EVLOS?;Contar con redundancias de transmisión y documentar los lóbulos de cobertura y ganancia de cada antena.;Utilizar exclusivamente antenas de polarización circular para evitar el efecto de zona muerta.;Tener una potencia de emisión mínima de 5 vatios para superar cualquier obstáculo físico natural.;Estar fabricadas con materiales compuestos que reduzcan la resistencia al viento en el dronepuerto.;Opción A
44;¿Qué criterio técnico se utiliza para evaluar la calidad de un enlace que utiliza tecnología satelital?;La velocidad de descarga de datos medida en megabits por segundo durante la fase de ascenso.;La temperatura de ruido equivalente del enlace para asegurar que la señal es útil y clara.;El número de satélites visibles en el horizonte con una elevación superior a los 45 grados.;La latitud y longitud exacta de la estación terrestre de enlace (hub) del proveedor de servicios.;Opción B
45;¿Qué herramientas debe tener el enlace C2 para minimizar riesgos de interferencia o pérdida de datos?;Sistemas de enfriamiento por nitrógeno y cables blindados con doble recubrimiento de oro.;Cifrado de datos, salto de frecuencia (FHSS) o cambio entre operadores de servicios de internet.;Un sistema de paracaídas que se active automáticamente si la intensidad de la señal baja del 5%.;Cámaras térmicas que detecten fuentes de calor que puedan generar ruido electromagnético.;Opción B
46;¿Qué debe ocurrir si el Manual de Operaciones (MO) de IEB estipula el uso de observadores UAS?;Su presencia es opcional si el piloto demuestra contacto visual total con la aeronave.;Basta con que el Jefe de Pilotos certifique su capacitación previa mediante un acta.;Deben estar presentes y conocer tanto el contexto operativo como los procedimientos.;Pueden realizar su labor de forma remota mediante una plataforma de video en tiempo real.;Opción C
47;¿Cuál es el límite de autonomía de energía permitido para finalizar una misión en campo?;El tiempo de vuelo no debe exceder el 95% de la capacidad reportada por el fabricante.;No existe un límite porcentual mientras el piloto declare que se siente seguro de operar.;Se permite volar hasta que el sistema active automáticamente el aterrizaje de emergencia.;El tiempo de vuelo no debe exceder el 80% de la autonomía total establecida.;Opción D
48;¿Qué identificación física es obligatoria para el UAS de IEB durante la inspección en campo?;Una placa metálica con el NIT de la empresa fijada en el compartimento de la batería.;La etiqueta de identificación requerida según el Capítulo B de la norma RAC 100.;Un código QR que enlace directamente a la póliza de responsabilidad civil de la empresa.;El logo de IEB en material reflectivo ocupando el 20% de la superficie de la aeronave.;Opción B
49;¿Qué verifica el inspector sobre el personal operativo que desarrolla la misión en vivo?;Que todos tengan un curso de primeros auxilios vigente emitido por una entidad de salud.;Que el personal presente sea el mismo que fue validado en la inspección de sede.;Que los pilotos vistan el uniforme de gala institucional para proyectar profesionalismo.;Que al menos un integrante hable inglés para comunicaciones en espacio aéreo controlado.;Opción B
50;"¿Cuál es el requisito reglamentario para el área designada como ""dronepuerto"" por IEB?";Estar ubicado a una distancia no mayor a 500 metros de un hidrante o fuente de agua.;Contar con una superficie de concreto para evitar la generación de polvo en el despegue.;Estar señalizado y delimitado conforme a la Directiva de condiciones técnicas de la Aerocivil.;Tener una carpa de protección climática con capacidad para todo el equipo de apoyo.;Opción C
51;"¿Qué información debe contener obligatoriamente el ""briefing"" inicial liderado por IEB?";Designación de roles, parámetros de operación, identificación de peligros y plan de emergencia.;El presupuesto detallado de la misión y el cronograma de entrega de los datos finales.;Una charla técnica sobre la evolución de la tecnología de drones en el territorio nacional.;La lista de redes sociales donde se publicará el material capturado durante el vuelo.;Opción A
52;¿Qué debe demostrar el equipo de operación respecto al mantenimiento preventivo en sitio?;La capacidad de realizar soldaduras en circuitos integrados dañados bajo condiciones de lluvia.;Que cuentan con un stock de al menos tres motores de repuesto por cada aeronave operada.;La calibración de la brújula interna mediante aplicaciones móviles no oficiales de terceros.;El uso de un procedimiento definido para ajustes, limpieza y verificaciones con soporte.;Opción D
53;¿Qué sucede si un piloto de IEB excede las 10 horas de servicio continuo en la inspección?;Se le permite continuar si el Jefe de Pilotos certifica que el personal se encuentra lúcido.;"El inspector calificará el ítem como ""No satisfactorio"" por incumplimiento del RAC 100.";Se debe solicitar una extensión de jornada vía correo electrónico a la oficina de la DONA.;El piloto puede ser reemplazado por un observador para completar las horas restantes.;Opción B
54;¿Qué documentos de idoneidad deben presentar los pilotos de IEB durante la auditoría?;El diploma de bachiller y el certificado de antecedentes emitido por la Policía Nacional.;La licencia de conducción de vehículos terrestres y el carné de la seguridad social (EPS).;El Certificado de Idoneidad con las adiciones necesarias para la operación específica.;Una carta de recomendación de un explotador UAS que ya posea certificación vigente.;Opción C
55;¿Cuál es la obligación de IEB respecto a la gestión de riesgos en la zona de operación?;Demostrar la identificación de peligros y la gestión de riesgos específicos para ese ConOps.;Contar con una ambulancia de nivel 3 parqueada permanentemente en el sitio de despegue.;Tener un seguro de vida individual para cada uno de los espectadores de la operación.;Publicar un aviso en prensa nacional informando sobre los riesgos de la misión aérea.;Opción A
56;¿Qué verificación técnica se realiza sobre el enlace C2 durante la ejecución del vuelo?;Que la señal de radio sea capaz de interferir con las comunicaciones de las autoridades.;Que el sistema cambie a una red Wi-Fi pública si se detecta una caída de la señal principal.;Que el enlace y la comunicación funcionen de forma apropiada y constante en todo momento.;Que la antena de la estación de tierra esté situada a una altura mínima de quince metros.;Opción C
57;¿Qué requisito debe cumplir el software de planificación utilizado por el equipo de IEB?;Ser de código abierto para que el auditor pueda revisar manualmente el algoritmo de vuelo.;Bloquear el despegue si detecta que el piloto no ha iniciado sesión con cuenta corporativa.;Que permita realizar la planificación conforme a lo descrito en el Manual de Operaciones.;Tener una interfaz gráfica 3D con mapas satelitales actualizados en tiempo real.;Opción C
58;¿Qué debe demostrar el equipo de operación respecto a incidentes y accidentes en campo?;Tener un contrato con empresas de limpieza de materiales peligrosos en caso de impacto.;La capacidad de borrar los registros de vuelo (logs) para proteger datos sensibles de IEB.;Que el Jefe de Pilotos tiene el contacto directo del Director General de la Aerocivil.;Que cuentan con formatos y procedimientos definidos en el MO para reportar sucesos.;Opción D
59;¿Cuál es el criterio para el uso de Elementos de Protección Personal (EPP) en IEB?;Su uso debe ser conforme a lo descrito en el Manual de Operaciones para todo el personal.;Son utilizados únicamente por el piloto al mando durante el despegue y el aterrizaje.;Los EPP son opcionales si la temperatura en el sitio de operación supera los 30 grados.;Basta con tener los elementos en el vehículo de transporte aunque no se usen en el vuelo.;Opción A
60;¿Qué aspecto de la telemetría es crítico monitorear durante la ejecución de la misión?;Que la velocidad de fotogramas del video sea siempre superior a 60 cuadros por segundo.;Que los parámetros se mantengan dentro de los rangos definidos para la misión pretendida.;El historial de todas las redes inalámbricas detectadas por la aeronave en su trayecto.;Que el nombre del piloto aparezca correctamente en la esquina superior de la GCS.;Opción B
61;¿Qué se verifica sobre el sistema de energía (combustible) durante la auditoría?;Que las baterías tengan carcasas rojas para indicar que son materiales de alta peligrosidad.;Que el drone pueda realizar maniobras acrobáticas con una sola hélice en caso de falla.;La marca y el país de origen de las celdas de litio utilizadas en el pack de potencia.;El procedimiento de control, manejo y transporte de baterías conforme al Manual (MO).;Opción D
62;¿Cómo valida el inspector que el personal de IEB no ha consumido sustancias prohibidas?;Mediante una entrevista psicológica de dos horas realizada individualmente en el sitio.;Verificando la implementación del plan de control para detección de alcohol o sustancias.;Solicitando al piloto que realice pruebas de equilibrio físico ante el equipo auditor.;Revisando el historial de visitas al médico general de los últimos cinco años del piloto.;Opción B
63;¿Qué documentos de la aeronave deben estar disponibles para revisión inmediata en sitio?;El certificado de tradición y libertad del terreno donde se sitúa el dronepuerto.;La factura de venta original del drone y el manual de usuario traducido al español.;Constancia de registro, copia de póliza RCE, libro de vuelo y libro de mantenimiento.;Un plano detallado de la arquitectura electrónica del sistema de control de vuelo.;Opción C
64;¿Qué debe incluir el Plan de Emergencias socializado por IEB durante el briefing?;Descripción del protocolo de actuación y contacto con dependencias pertinentes.;Un listado de los precios de reposición de cada componente del drone ante pérdida total.;La dirección de la oficina principal de IEB y el nombre del analista de recursos humanos.;Un tutorial grabado de cómo apagar incendios químicos usando arena del sector de vuelo.;Opción A
65;¿Cuál es la función del acta realizada durante la entrevista del Plan de Emergencias?;Registrar el listado de asistencia para el cobro de viáticos de los inspectores de turno.;Describir textualmente la declaración del personal sobre su conocimiento del plan.;Servir como comprobante de que el piloto tiene excelente dicción y tono de voz claro.;Anotar sugerencias de los observadores para modificar el Manual de Operaciones de IEB.;Opción B
66;¿Qué debe demostrar el equipo de IEB respecto a la zona de operaciones y las limitaciones del UAS?;Que la zona cuenta con permisos de los propietarios de todos los predios en un radio de 5 km.;Que las condiciones de la misión no exceden las limitaciones del UAS autorizadas por la DONA.;Que el drone tiene capacidad de volar bajo lluvia intensa independientemente de su manual.;Que se ha notificado a la junta de acción comunal local sobre el ruido de los motores.;Opción B
67;¿Cuál es el requisito para los equipos tecnológicos adicionales (ETA) en la inspección de campo?;Deben ser equipos nuevos comprados en el último semestre fiscal con factura de venta.;Cualquier equipo adicional puede usarse siempre que el piloto sepa configurarlo en sitio.;Debieron estar en la inspección de sede y contar con el respectivo registro ante Aerocivil.;Deben tener una certificación de la Agencia Nacional del Espectro (ANE) pegada físicamente.;Opción C
68;¿Qué aspecto de la comunicación interna es evaluado críticamente durante la ejecución del vuelo?;Que el piloto use un lenguaje técnico aeronáutico en inglés durante toda la misión.;La correcta comunicación entre todo el personal operativo (piloto, observadores y apoyo).;Que todos los miembros del equipo tengan radios de banda aeronáutica de alta potencia.;El uso de señales de mano estandarizadas para evitar el ruido de las comunicaciones radiales.;Opción B
69;¿Qué debe verificar el inspector sobre la carga de pago (cámara/sensores) durante la operación?;Que la cámara tenga una resolución mínima de 20 megapíxeles para fines de fotogrametría.;Que la transmisión de video (FPV) funcione como fuente de validación de estabilidad del enlace.;Que el sensor cuente con un certificado de calibración emitido por el fabricante en el país.;La capacidad de transmitir las imágenes a una central de monitoreo mediante una red 5G.;Opción B
70;¿Cuál es la función del acta que realiza el inspector durante la charla previa (briefing)?;Registrar los datos de contacto de los clientes de IEB para verificar la veracidad del contrato.;Describir textualmente la declaración del personal sobre el Plan de Emergencias y actuación.;Anotar el número de serie de cada una de las hélices utilizadas durante la demostración.;Validar que el piloto tiene una licencia de conducción vigente para el transporte del equipo.;Opción B
71;¿Qué criterio se aplica al uso de Elementos de Protección Personal (EPP) según el MO?;Los EPP son obligatorios únicamente para el personal técnico que manipula las baterías.;Deben ser usados de conformidad con lo descrito en el Manual de Operaciones de IEB.;El uso de EPP es una recomendación opcional dependiendo del clima de la zona de operación.;Basta con usar chalecos reflectivos para que el inspector identifique al personal de IEB.;Opción B
72;¿Qué sucede si el tiempo de vuelo excede el 80% de la autonomía total establecida?;El inspector calificará la ejecución de la operación como no conforme o no satisfactoria.;Se permite continuar el vuelo si el sistema de telemetría indica que aún queda un 10% de carga.;El piloto debe solicitar una autorización verbal al inspector para extender la misión 5 minutos.;Se debe activar el modo de ahorro de energía y aterrizar en un punto diferente al dronepuerto.;Opción A
73;¿Qué debe verificar el inspector sobre las listas de chequeo (checklists) en campo?;Que estén impresas en papel de seguridad con el logo de la Aerocivil en la parte superior.;El uso completo y conforme de todas las listas de chequeo definidas en el Manual (MO).;Que el piloto haya memorizado las listas para no tener que consultarlas durante el vuelo.;Que las listas incluyan una sección de firmas para cada uno de los observadores UAS.;Opción B
74;¿Cuál es la obligación respecto al Plan de Respuesta a Emergencias en el sitio de vuelo?;Tener un médico brigadista presente durante todas las fases de despegue y aterrizaje.;Verificar que el Plan de Emergencias haya sido socializado durante la charla previa (briefing).;Contar con un sistema de paracaídas instalado en la aeronave para evitar daños en tierra.;Tener una ruta de escape marcada con conos reflectivos desde el dronepuerto al vehículo.;Opción B
75;¿Qué se debe demostrar sobre la gestión del sistema de combustible (energía) en la UA?;El procedimiento de control, manejo y transporte de baterías conforme al Manual (MO).;Que las baterías son cargadas exclusivamente con paneles solares para reducir la huella.;La capacidad de cambiar la batería en menos de treinta segundos para misiones continuas.;Que el sistema de propulsión cuenta con una redundancia de al menos dos motores extra.;Opción A
76;¿Bajo qué modalidad de vuelo es obligatoria la presencia de un observador en IEB?;Únicamente en operaciones VLOS que superen los 500 metros de distancia horizontal.;En todas las operaciones independientemente de la distancia o contacto visual.;En operaciones bajo la modalidad EVLOS (Visibilidad en línea de vista extendida).;Solo cuando el Jefe de Pilotos no se encuentre presente físicamente en el sitio.;Opción C
77;¿Cuál es la distancia horizontal máxima para una operación EVLOS según el manual de IEB?;750 metros medidos desde el punto de despegue y aterrizaje de la aeronave.;Hasta 3,000 metros medidos horizontalmente desde el mando y control.;5,000 metros siempre que se utilicen prismáticos o binoculares de alta potencia.;La distancia mínima necesaria para que el enlace C2 mantenga el 100% de la señal.;Opción B
